,Location,Scene,Text,Speaker,Season
39,The stairwell,,Oh. Well good boy.,Penny,7
40,The apartment,,Mitzy’s dead?,Leonard,3
41,The apartment,,Okay good ’cause that’s what I want too.,Penny,10
42,The steam tunnel,,Let’s set up the equipment. It’ll help take your mind off of it.,Raj,8
43,Leonard’s laboratory,,Sharp. Thanks to the machine we saw earlier.,Penny,6
44,Amy’s apartment," Sheldon knocks three times,", Amy. Hmm. Tables work too. Good to know.,Sheldon,9
45,Howard and Bernadette’s Bedroom,,The Fantastic Four reunited.,Howard,6
46,Penny’s apartment door," Leonard knocks,",All right. Terrific. Well let me just go find a pair of shoes that aren’t so tall. We wouldn’t want you to feel like you were out for a walk with your mommy.,Penny,5
47,Penny’s door,,  Penny.,Sheldon,4
48,Sheldon’s office,,Way to make lemonade. You know from around the corner where fudge is made.,Howard,6
49,The apartment," Sheldon is making a sucking noise with his teeth,",Where exactly did your mother have you tested?,Leonard,6
50,Sheldon’s bedroom," There is a knock on the door,",Come in.,Sheldon,7
51,Penny’s apartment,,But he’s sad.,Penny,5
52,The Apartment,,Hi.,Leonard,1
53,The cafeteria,,Do you have a preference?,Raj,6
54,Howard and Bernadette’s bedroom,,Hello.,Howard,10
55,The apartment,,Well…,Sheldon,6
56,Penny’s apartment,,Yeah it was.,Penny,4
57,Penny’s apartment,,And you thought my acting lessons were a waste of money.,Penny,2
58,Howard’s bedroom,,,Howard,5
59,The apartment,,I don’t think it worked.,Sheldon,8
60,The apartment,,When a suitcase just won’t do.,Penny,4
61,Leonard and Penny are in bed,,Will you at least think about it? Just as a favour to me?,Leonard,3
62,The same,,I can’t see him.,Howard,1
63,The restaurant,,You know what? Why don’t we just forget about them and enjoy our Valentine’s Day?,Leonard,6
64,Later still,,Oh Sheldon stop it.,Leonard,4
65,Penny’s apartment,,Wil can we just turn off the podcast for a little bit?,Leonard,8
66,Amy’s apartment,,See? That’s what I thought. But then they go and throw in an ESRAM buffer.,Sheldon,7
67,The apartment," Leonard is stretched face down on the sofa,",You can’t say that anymore.,Leonard,4
68,Outside Sheldon’s bedroom,,Great. I’ll start packing. In a minute.  Oh look it’s the cholermus.,Sheldon,3
69,The apartment,,Squeeze yourself.,Leonard,8
70,Penny’s apartment,,Oh thank you so much. It feels so good to hear you say that. And I want you to know that I get this job kind of changes the balance in our relationship and I’m trying to be sensitive to that.,Penny,8
71,The dining car,,Emily your face is like a precious dew-kissed flower.,Howard,7
72,The apartment," Howard is on the phone,",,Howard,2
73,The apartment,,Interesting. I can’t think of a single thing I wouldn’t say to someone’s face.,Sheldon,8
74,The apartment,,I know.,Sheldon,6
75,The living room door," a fibre-optic camera emerges from underneath, We see the scene from its point of view, Cut to outside, Raj is holding a laptop, Howard is feeding the camera under the door,",Leonard I’m hungry!,Sheldon,1
76,The apartment," Penny enters, carrying a box,",No what’s disgusting is he’s still keeping track.,Leonard,6
77,Outside Howard’s house,,I thought she was the whore of Omaha?,Raj,1
78,The apartment,,Oh great. Now I’m worse than a fraud. I’m practically a biologist.,Sheldon,7
79,Outside the coffee shop,,I was so smooth on that date.,Raj,5
80,Howard’s bedroom,,Good. Your mom seems nice.,Penny,2
81,The apartment,,Well can you believe she said I embarrassed her?,Sheldon,7
82,The apartment,,It’s okay.,Howard,7
83,The apartment,,You know my aunt changed her diet and in a few months she…,Penny,7
84,Mrs Wolowitz’s house,,Sure. Oh we had one of these growing up. I used to play all the time.,Penny,8
85,Outside Raj’s flat,,I looked over the board and it turns out you were right.,Sheldon,3
86,Howard and Bernadette’s kitchen,,Okay you’re right I got myself into this but I’ve never missed a Comic-Con with you guys.,Howard,10
87,The same," later,",Hello.,Howard,10
88,The apartment," The guys are watching footage on a laptop screen,",Excuse me but how are we going to make any modifications without Wolowitz? Have you heard from Penny yet?,Raj,2
89,The funeral,,Yeah we won’t be eating Arthur tonight.,Leonard,7
90,Outside the bar,,Yeah she does.,Leonard,7
91,The comic book store,,Well I can’t take all the credit. She let me do it to her but uh but I can always call her and cancel.,Raj,7
92,Penny’s car,,I don’t know. This is all starting to feel like a sad attempt to recapture our youth.,Penny,10
93,Outside Penny’s door,,Oh hey no you don’t have to apologize. There’s no reason you have to tell me. I was just you know surprised.,Penny,2
94,The apartment,,Not in a rush busy with work…,Penny,8
95,The stairwell,,Good choice it’s disgusting.,Sheldon,10
96,The apartment,,Hey.,Leonard,4
97,The apartment,,Oh no it will. See by keeping my mind engaged I’ll become more focused.,Sheldon,8
98,The apartment," The guys are watching footage on a laptop screen,",We don’t have that option we’ve accepted the challenge. We can’t run away from a fight.,Sheldon,2
99,Amy’s lab,,Uh no. Actually I didn’t invite her.,Penny,8
100,The North Pole,,It is remarkable.,Sheldon,2
101,The apartment,,Wait. Wait. And says?,Sheldon,6
102,The laundry room,,Okay show’s over.,Penny,3
103,The wine tasting,,,Howard,9
104,Howard’s laboratory," Howard is soldering something,",,Howard,5
105,A corridor,,Fourteen and a half.,Sheldon,1
106,Sheldon’s office,,Well there’s no toilets we’ll have to do our business in a bucket.,Raj,8
107,Howard’s workshop,,Listen we did a stupid thing.,Leonard,9
108,Mrs Wolowitz’s house,,Hey hey do you hear yourselves? Let’s just you know all calm down and take a step back.,Howard,7
109,The hallway," Sheldon scuttles out of apartment door and crosses to Penny’s, Knocks on it urgently,",Oh come on you know Leonard’s had girls over before right?,Penny,1
110,The stairwell,,Complete with bulletproof bracelets and lasso of truth. Invisible plane sold separately.,Sheldon,4
111,Raj’s apartment,,Oh my God I think you broke my toe!,Raj,4
112,The apartment,,Okay I’m gonna let that slide because I know you’re hopped up on tea bags.,Sheldon,6
113,Penny’s apartment," Knocking,",You make a cute Green Arrow.,Penny,4
114,Penny’s apartment, ,What are you doing? You have to start with the edges.,Sheldon,7
115,The apartment,,Is it kung pao chicken?,Sheldon,6
116,The apartment,,That’s great. Get out.,Leonard,6
117,The apartment,,Well I’m watching it now. Why would I want to see it again on Friday?,Penny,4
118,The restaurant,,Although unlike your date she actually showed up. Oh he looks sad again.,Sheldon,10
119,Leonard’s bedroom," Leonard is asleep,",I didn’t want to upset you. Howard made it very clear that my allegiance should be to male comrades before women who sell their bodies for money.,Sheldon,3
120,The living room," The time machine is set up,",Oh I have a solution first go into the future and obtain a cloaking device.,Sheldon,1
121,Howard and Bernadette’s kitchen,,I know. Blue shag what were you thinking?,Raj,10
122,The apartment,,She doesn’t flirt with doctors.,Leonard,8
123,A shed on the paintball range,,What are you doing?,Leonard,5
124,The apartment,,I’ve uh created some other user accounts so I can post positive comments about their paper.,Raj,8
125,Sheldon and Amy’s apartment,,This isn’t fair. You’ve discussed aspects of our physical relationship with Penny.,Sheldon,10
126,Howard and Bernadette’s house,,I’m sorry. I did what I could.,Raj,9
127,Outside Penny’s door,,Yeah. I’m just a little surprised you didn’t tell me.,Penny,2
128,Penny’s car,,She was blowing a spit bubble. It was adorable.,Raj,10
129,Penny’s door,,Your company?,Leonard,3
130,The Entomology Department,,Oh we’re scientists.,Howard,3
131,Howard and Bernadette’s house,,It’s not creepy. I built a Footprints on the Moon fan page Trent joined it.,Raj,9
132,The apartment,,How?,Penny,7
133,The apartment,,How come we can’t think of something we both want to do?,Penny,8
134,Raj’s apartment,,Okay gotta go.,Howard,4
135,The apartment,,It doesn’t matter why he told me. It’s true isn’t it?,Penny,3
136,Penny’s apartment,,Oh this is ridiculous. What?,Penny,3
137,Sheldon’s bedroom," Sheldon wakes up and coughs, Picks up an electronic thermometer and takes his temperature,",Drink whatever you want.,Leonard,1
138,Leonard’s room,,No.,Leonard,4
139,The apartment,,Besides I don’t need six hours of your hair is different why did you change your hair? I’m holding my breath until your hair grows back.,Penny,8
140,The apartment,,I know it’s crazy. Welcome to the Thunderdome people. ,Leonard,7
141,The apartment," Sheldon is playing three person chess by himself,",Actually I was wondering if I could add a third new chess piece. How do you think people would feel about Prince Joey the king’s feeble-minded but well-meaning cousin?,Sheldon,4
142,The comic book store,,Oh yes.,Sheldon,3
143,The university cafeteria,,Wow y-yeah sure. Yeah no problem. Uh Here’s my home number here’s my cell here’s my office here’s my parents’ number up in New Jersey they always know how to reach me. So…,Leonard,2
144,Penny’s apartment,,Sheldon doesn’t Amy look hot? That’s got to put some starch in the upper flermin.,Penny,8
145,The stairwell,,Cookie.,Sheldon,6
146,Penny’s apartment,,Please show us?,Penny,8
147,Penny’s apartment," Everyone is watching football,",I know. I just need you stop talking.,Penny,3
148,The same,,So it’s settled. You’ll stay with us.,Leonard,1
149,Penny’s apartment,,Oh God I don’t know Sheldon are you Star Wars?,Penny,2
150,Howard and Bernadette’s apartment,,Yeah. Mrs. Wolowitz was pretty special. When I first moved to America Howard was my only friend and she made me feel so welcome in her home. Which says a lot because those first few years she thought I was the gardener.,Howard,8
151,The apartment,,Superceded!,Leonard,4
152,The apartment,,Don’t know.,Sheldon,6
153,The apartment,,Excellent! What are you planning to wear?,Sheldon,4
154,The soup kitchen,,It is.,Howard,9
155,Leonard’s car,,That what that’s for? In India the lid just touches the cheese. Of course we also have rampant poverty and periodic outbreaks of cholera so a little cardboard in our cheese is no biggie.,Howard,2
156,The apartment,,That is very mature of you so I’m gonna go ahead and say suckah.,Leonard,9
157,Penny’s door,,Oh hi. What’s going on?,Penny,3
158,The apartment,,Why’s that?,Sheldon,6
159,The apartment,,Plus no one stole their pants.,Raj,2
160,The apartment,,Are you kidding me?,Penny,7
161,Leonard’s car,,Legoland seems like a hollow dream now.,Raj,4
162,The apartment,,You’re the other baby.,Leonard,9
163,The apartment,,You think?,Leonard,4
164,The airport arrivals area,,Really? The old Asian man is not your Meemaw?,Leonard,9
165,The apartment,,Well he has a job. How bad can it be?,Penny,10
166,The apartment,,That’s not an apology simply an acknowledgement that I was right.,Sheldon,3
167,The welcoming party,,Unbelievable.,Raj,1
168,Raj’s apartment,,You’re such a child.,Howard,10
169,The apartment,,You were but somehow I held myself back.,Penny,8
170,Leonard’s bedroom,,I’m sorry. I’m never mind.,Leonard,4
171,Leonard and Penny’s bedroom,,Very well.,Sheldon,10
172,A bar,,May I have a grasshopper with a little umbrella please?,Raj,2
173,The same,,Uurgh.,Howard,1
174,The comic book store,,Thank you. You just robbed me of the opportunity to stumble upon the figurine and make the oh-so-satisfying journey from discovery to desire to possession.,Sheldon,3
175,The apartment,,Thanks Grandma.,Sheldon,7
176,The living room,,Details Leonard the success or failure of our deceitful enterprise turns on details.,Sheldon,1
177,Howard and Bernadette’s garage,,Oh no that’s mine.,Howard,10
178,The apartment," Raj is talking to his parents on the webcam,",You left with his date. Friends don’t do that to each other.,Leonard,1
179,The apartment,,You worked out all the math.,Leonard,8
180,The apartment,,Okay.,Leonard,8
181,The laundry room,,Oh other than waiting out the exponential growth period of the virulent organisms trooping through my microvilli into my circulatory system hunky-dory.  Did I say something amusing?,Sheldon,4
182,Howard and Bernadette’s kitchen,,The polite response is thank you for noticing.,Howard,10
183,Leonard’s car," Leonard and the girl are kissing,",Then why did you?,Leonard,2
184,Sheldon’s classroom,,Okay. Um what is the correct interpretation of quantum mechanics?,Sheldon,8
185,The apartment,,Penny please we’re facing a far more serious problem than stray arachnids.,Sheldon,2
186,Penny’s apartment,,Then swim to Cuba.,Penny,1
187,Raj’s apartment,,You can do both like Michael Jackson’s Billie Jean. While you’re dancing you’re thinking like darn it whose baby is it?,Howard,9
188,The apartment,,You’re right. My apologies.,Sheldon,4
189,The apartment,,No.,Leonard,3
190,The apartment,,I’m really sorry Sheldon.,Leonard,4
191,Sheldon’s bedroom,,Sheldon I’m not taking you to Switzerland.,Leonard,3
192,A Chinese restaurant,,I’m signing off now.,Howard,3
193,The apartment,,What are you thinking?,Leonard,3
194,Leonard’s car,,She’s right. You know I just learned Amy went to a theme park without me but I’m not going to ruin her birthday. I’ll wait and ruin 24 individual hours sprinkled throughout the year. Boop.,Sheldon,10
195,The apartment,,Things are good right now.,Sheldon,8
196,Penny’s apartment,,Sleepy kitty.,Sheldon,2
197,The Wedding Chapel,,He loves that movie.,Penny,9
198,Amy’s lab,,So goofing off. As I was saying I’m done with work and Leonard’s not. So good news you get to take me home. Play your cards right I’ll let you drive me past the lot where the buses park at night.,Sheldon,7
199,The university lunch room,,Hey why don’t we all move over there so Leslie can join us.,Leonard,2
200,The apartment,,Heated to 180 degrees?,Sheldon,3
201,The Apartment,,,Howard,2
202,On the roof of the apartment building,,,Howard,3
203,A restaurant,,What else have you been thinking about doing?,Raj,6
204,The apartment,,Yeah if your mom could see her little Bar Mitzvah boy right now she’d have a heart attack.,Raj,7
205,The apartment,,Does he even like lemon bars?,Penny,10
206,The apartment,,No. You too are safe.,Sheldon,2
207,The apartment,,My point is I do not judge a book by its cover. I am interested in the person underneath.,Penny,3
208,Mrs Wolowitz’s house,,I uh I suppose I could stay for some dessert.,Raj,6
209,The cinema line,,We’d still get in but first I’d hit you over the head with his stick chair.,Leonard,9
210,The lobby,,,Howard,3
211,The cafeteria,,Fine. But can’t we go home and start this?,Leonard,3
212,A bar,,I’ve been responsible for my own buzz since 2003. Another round for me and my homegirl.,Penny,3
213,On the train,,,Howard,2
214,The apartment,,What does that mean?,Leonard,8
215,Leonard and Sheldon, Inside Leonard’s car,Come on you know how it is with break-ups.,Leonard,1
216,The living room door," a fibre-optic camera emerges from underneath, We see the scene from its point of view, Cut to outside, Raj is holding a laptop, Howard is feeding the camera under the door,",I don’t think Penny’s ever coming here again.,Leonard,1
217,The International Space Station,,You know Amy I don’t even think you and I have had a real conversation. Let’s use tonight to get to know each other a little better. You start.,Howard,6
218,The pub,,What are you worried about?,Leonard,8
219,The Cheesecake Factory,,This is a restaurant. It’s lunchtime. I would think as a waitress you’d be familiar with the paradigm.,Sheldon,3
220,The laboratory,,Nicely done Howard.,Leonard,10
221,The apartment,,Yeah but you’ve got a can-do attitude and that’s what’s important.,Sheldon,5
222,The apartment,,Is that it?,Leonard,10
223,The apartment," Leonard arrives,",Okay yeah fine.,Leonard,4
224,Leonard’s bedroom," Sheldon is standing over their bed, He knocks on the wall,",Because we didn’t want to be disturbed.,Leonard,3
225,The apartment,,Wrong. The best number is 73. You’re probably wondering why.,Sheldon,4
226,The cafeteria,,You know when Cinnamon won’t take her medicine I hide it in a piece of cheese.,Howard,7
227,The stairwell,,You want some Oreos?,Leonard,5
228,The comic book store,,I don’t know. Maybe Jughead’s a Terminator.,Raj,9
229,The university cafeteria,,Hello Sheldon.,Raj,3
230,Howard and Bernadette’s apartment,,Hey guys. Sorry I am so late. I was on the phone with my mother.,Raj,8
231,The apartment,,You know what that’s not a flag question. Next caller.,Sheldon,9
232,The stairwell," They ascend without talking,",Good night Leonard.,Penny,5
233,The store,,I understand. Either way I want you to know that I’m aware of how difficult I can be. So I just want to say thank you for putting up with me.,Sheldon,8
234,The living room,,Penny I can still drive you.,Leonard,3
235,The apartment,,No.,Leonard,6
236,Kingman Police Station,,Any word on my stolen items?,Sheldon,8
237,All five in Leonard’s car,,Is Thai food okay with you Penny?,Leonard,1
238,Sheldon and Amy’s apartment,,Okay.,Penny,10
239,Sheldon’s bedroom,,You have to help it’s in the roommate agreement.,Sheldon,4
240,The restaurant,,Yeah.,Leonard,3
241,Penny’s apartment," Knocking,",It’s open.,Penny,4
242,The bowling alley,,Yeah I got it.,Penny,3
243,Penny’s apartment,,Yeah. I had higher hopes for a movie called Serial Ape-ist 2 Monkey See Monkey Kill. You know it’s still possible for you to be good in a bad movie.,Leonard,7
244,Howard and Bernadette’s kitchen,,Here let me help you.,Raj,10
245,The laundry room,,Exactly.,Penny,4
246,The Apartment,,Stop. We can’t do this it’s not right.,Sheldon,2
247,The apartment," Leonard is dressed as Green Lantern, Sheldon as The Flash,",We’re going to be late. I’m pacing nervously.,Sheldon,4
248,The comic book store,,How do you know what the exact temperature of the room is?,Howard,3
249,The apartment,,We’re gonna write an application…,Leonard,4
250,The stairwell,,Oh good! You’re just in time. I believe I’ve isolated the algorithm for making friends.,Sheldon,2
251,The telescope room,,Uh.,Raj,10
252,Penny’s apartment,,Hmm. You sure your mothlike personality won’t be drawn to this blazing fire that is myself?,Sheldon,7
253,The apartment,,I am.,Sheldon,6
254,Penny’s apartment,,Doesn’t sound that bad.,Leonard,8
255,Penny’s apartment,,Mommy I love you. Don’t let Spock take me to the future!,Sheldon,4
256,Sheldon’s bedroom," There is a knock on the door, Penny enters,",I spilled grape juice.,Sheldon,2
257,The entrance lobby," Sheldon is sitting on the bottom step using his laptop, Penny comes down the stairs,",I don’t drink coffee.,Sheldon,2
258,The stairwell,,What is your point?,Penny,6
259,The cafeteria,,You really think so?,Howard,4
260,The apartment,,He’s bringing me. Who are you bringing?,Penny,5
261,The apartment,,Good for you sweetie. Okay next question. What is the quantum mechanical effect used to encode data on hard disk drives? Howard.,Penny,1
262,The hallway," Howard knocks on Penny’s door with his bow,",Okay.,Howard,1
263,The lobby,,Yep.,Penny,3
264,The apartment,,Shut up. You can do that? I mean wouldn’t that solve the world’s energy crisis?,Penny,6
265,The following morning,,Oh I know. I’m now an independent contractor.,Sheldon,4
266,The comic book store,,Maybe we could get Batman to actually show up.,Leonard,9
267,The supermarket,,Interesting.,Penny,1
268,Raj’s car,,Thank you sir. ,Howard,3
269,Amy’s apartment,,Yeah I do. Which is why I got Amy this.,Sheldon,8
270,Penny’s apartment,,I would have thought at a miniature horse show.,Penny,5
271,The lab,,It’ll be fine. You’ll see. Sheldon? Buddy? ,Leonard,10
272,The apartment,,Someone will show.,Sheldon,3
273,Soyuz capsule,,,Howard,5
274,A corridor at the university,,Where?,Sheldon,2
275,Leonard’s bedroom,,It’s not me it’s my new ringtone. The Joker from Batman.,Leonard,3
276,The same,,Then I believe we’ve arrived at another quintessential rock-paper-scissors- lizard-Spock moment.,Sheldon,2
277,Leonard’s bedroom," Leonard enters, and accidentally sits on Raj, Both exclaim,",What are you doing here?,Leonard,4
278,A corridor at a sperm bank,,I don’t know I’ve never reneged on a proffer of sperm before.,Leonard,1
279,Leonard’s bedroom," Text signal,",The hell do you think you’re going?,Penny,5
280,Howard’s workshop,,That’s what you said.,Sheldon,10
281,The apartment,,Hello.,Raj,10
282,Penny’s apartment,,Yeah. You’re probably right. I used to think my high school P.E. teacher didn’t like me but it turned out she liked me a little too much.,Penny,8
283,The apartment,,No.,Leonard,2
284,The cafeteria,,Great. Now that we’re all on the same page let’s get together tonight and work on it.,Leonard,8
285,The apartment,,Here’s your tea Mother.,Leonard,2
286,The apartment," the living room,",He really needs to dial it down.,Penny,1
287,The hallway," Howard knocks on Penny’s door with his bow,",Neeeeeooooowwwwww!,Sheldon,1
288,Lobby of the apartment building," Howard, Raj, Sheldon and Leonard enter in combat gear, covered in blue paint,",Okay um oh hey I’m having a party on Saturday so if you guys are around you should come by.,Penny,1
289,The vets surgery,,Oh yeah?,Raj,7
290,The apartment," Penny enters, carrying a box,",You said it not me.,Sheldon,6
291,The stairwell,,Well have fun with whatever nightmare’s behind door number two.,Leonard,10
292,The living room," Howard and Raj are staring intently at the television, Leonard enters,",I don’t care. I’m taking a stand. Metaphorically.,Penny,2
293,The same," later,",If we’re going to fight over Missy let’s do it the right way. The honourable way.,Leonard,1
294,The living room,,,Howard,1
295,The apartment," Sheldon is working on his laptop, Spock is looking at him judgementally, He switches the two toys,",And that’s a lie right?,Leonard,5
296,Penny’s bedroom," Sheldon is standing over Penny’s bed, knocking on the wall,",Oh I was having a little trouble sleeping and I just thought uh seeing as you’re up we could talk.,Sheldon,6
297,Penny’s apartment," Sheldon and Leonard are trying to construct furniture,",Penny is wearing the worst Catwoman costume I have ever seen and that includes Halle Berry’s.,Howard,1
298,The apartment," Leonard opens the door to Penny,",I possess the DNA of Leonard Nimoy?!,Sheldon,2
299,A jewellery store,,I don’t think there’s anything in this jewellery store that Amy would appreciate more than the humidifier we were just looking at at Sears.,Sheldon,5
300,The apartment,,Yeah like a bunch of savages.,Sheldon,6
301,The apartment,,Oh glad you’re here uh sit down I’ll get you a plate. Mom you remember Penny.,Leonard,3
302,The laundry room,,Well it’s a chance you have to take. I mean look if it’s meant to be it’ll be.,Penny,2
303,The same," later,",But he’s afraid of dogs.,Raj,3
304,Raj’s apartment,,It means I like women as well as their skincare products.,Raj,5
305,The apartment,,Yeah bye sweetie.,Penny,10
306,The apartment," Sheldon is learning Finnish,",I don’t get it. You had a great time.,Raj,3
307,The apartment," Leonard and Raj are watching a football game on the television,",Fine. Paint green flames on your little scooter with her. ,Raj,3
308,The laundry room,,What are you suggesting?,Sheldon,4
309,Raj’s apartment,,Oh Lucy you don’t have to answer that. Don’t put her on the spot. She hates that. Am I right? Tell her how much you hate being put on the spot. Go ahead tell her.,Raj,6
310,The apartment,,I don’t know.,Penny,3
311,The apartment," Sheldon is stood in the middle of the room, His whiteboard is behind him, Every few moments he turns round suddently,",Interesting. I usually just have coffee. You’ve been up all night?,Penny,3
312,The apartment,,Guys in 30 seconds we went from let’s change the world to let’s watch TV.,Leonard,8
313,The university cafeteria,,Oh yeah like you have a shot with Zac Ephron.,Raj,2
314,Hotel corridor,,You’re right. Just forget it.,Penny,9
315,The apartment,,Okay. What if I got him to apologize and promise to behave?,Penny,4
316,Outside Kurt’s door,,Hi Kurt.,Leonard,2
317,The cafeteria,,Pattern is the same as fermions travels on the pathways hexagonal it’s always hexagonal…,Sheldon,3
318,The apartment," Leonard opens the door to Penny,",Very good thanks for asking. Come on in.,Leonard,2
319,Penny’s apartment,,What?,Leonard,2
320,The apartment," Sheldon is still singing,",Yeah I’m familiar with your work. C-minus was your gift.,Sheldon,6
321,The Wedding Chapel,,No thank you.,Penny,9
322,The apartment,,You see what happens when you let girls play D&D?,Sheldon,6
323,The kitchen," Sheldon is making toast in a cylon toaster which burns an image of a cylon onto the toast,",Huh. Seems like an awful lot of trouble to go through for intercourse. Don’t you have access to women who will do it for money? By the way another accepted usage for the term ho.,Sheldon,3
324,The train station,,I do.,Sheldon,7
325,The apartment," Leonard is playing an X-Box game,",,Howard,1
326,The cafeteria,,Well you didn’t suggest a beach house.,Sheldon,8
327,Outside Howard’s house," Leonard rings bell,",Miss.,Howard,4
328,City Hall,,Good move telling Sheldon.,Penny,5
329,The Cheesecake Factory,,Okay I know what I’m going to do.,Howard,1
330,Penny’s door,,Do I have a choice?,Penny,3
331,The apartment,,Well obviously you don’t remember your circumcision.,Howard,3
332,A bar,,And his tight little pants that somehow did not make him sterile.,Leonard,9
333,The apartment,,No he was some kind of scientist let me start again. Oh hey Leonard.,Penny,2
334,Sheldon and Leonard’s apartment,,Then I guess congratulations are in order.,Leonard,1
335,The apartment,,Thank you.,Leonard,4
336,Outside Raj’s office,,Dr Gablehauser.,Sheldon,2
337,The hallway,,Thank you. What did she mean she’s happy for me? Is she happy because I’m seeing someone or is she happy because she thinks that I’m happy because anyone who cared for someone would want them to be happy even if the reason for their happiness made the first person unhappy. You know because the second person though happy is now romantically unavailable to the first person.,Leonard,1
338,The apartment,,Yeah just back there.,Leonard,5
339,Leonard’s lab,,What did I do now?,Leonard,3
340,The same," later,",So Bernadette if I express interest in your baby will you promise not to make me touch it?,Sheldon,10
341,A bookshop,,We were really hitting it off.,Sheldon,2
342,The apartment,,Don’t beat around the bush Leonard. If you don’t want me here just say the word and I’ll leave.,Sheldon,4
343,Penny’s bedroom,,Maybe along the z-axis but x and y are looking pretty sad.,Leonard,8
344,The university cafeteria,,How?,Leonard,2
345,Sheldon and Amy’s bedroom,,No you didn’t. But keep in mind I felt extremely important.,Sheldon,10
346,Leonard’s laboratory,,Some psychologists perform operant conditioning with punishment. Maybe we can come up with a punishment for straying off topic.,Leonard,8
347,The apartment,,You’re not a lawyer Sheldon you’re just a know-it-all.,Leonard,10
348,The laundry room,,I really like you but I want to see how things go with Mark?,Leonard,2
349,The building foyer,,So have these two and they’re having dinner with us.,Sheldon,8
350,The university cafeteria," Raj has the cricket in a jar,",What happened?,Raj,3
351,The theatre,,She is. But when do they get to the part about streetcars?,Sheldon,6
352,Leonards car,,Is it about the failing state of my relationship with Penny?,Leonard,10
353,The apartment,,Yeah?,Leonard,10
354,Entering the lobby of the building,,Was that sarcasm?,Sheldon,2
355,Sheldon and Amy’s apartment,,What are you crazy? I’m on a unicycle.,Sheldon,10
356,The apartment,,Okay I’ll be right in.,Leonard,2
357,The apartment,,Oh.,Penny,8
358,The laundry room,,Um I don’t know I don’t think a lot.,Penny,2
359,The apartment,,Really?,Howard,8
360,The apartment,,When there was no more room in the floor safe.,Sheldon,9
361,The university cafeteria,,Alright this goes without saying but I’m just going to say it anyway. Hands off my sister.,Raj,4
