id,authors,title,journal,year,abstract,keywords,link
1283,"Lovelace J.B., Neely B.H., Allen J.B., Hunter S.T.","Charismatic, ideological, & pragmatic (CIP) model of leadership: A critical review and agenda for future research",Leadership Quarterly,2019,"Criticisms of the dominant leadership perspectives in the literature are increasing and, as such, a growing number of scholars are calling for more complex and conceptually sound theories of leadership. With a multi-faceted perspective on effective leadership, detailed conceptual underpinnings, and increasing body of empirical support, the Charismatic, Ideological, and Pragmatic (CIP) model of leadership has the potential to address many of these concerns and substantively contribute to our understanding of effective leadership. Despite such advantages, however, wide scale proliferation of the model remains elusive. As such, this effort provides the first comprehensive review of the CIP model to analyze its potential to expand our understanding of leadership in science and practice. In doing so this review frames and organizes the existing CIP literature, identifies key strengths of the model, addresses key limitations of the model, and outlines future research opportunities that would benefit from adopting a CIP perspective. © 2018 Elsevier Inc.",Charismatic leadership; CIP model of leadership; Ideological leadership; Pragmatic Leadership; Sensemaking,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054095519&doi=10.1016%2fj.leaqua.2018.08.001&partnerID=40&md5=c29c2602b84a1df5f24e472b65953bc2
1282,"Bastardoz N., Van Vugt M.",The nature of followership: Evolutionary analysis and review,Leadership Quarterly,2019,"From an evolutionary perspective, followership is puzzling because it is not clear why individuals would relinquish their autonomy and set aside their personal goals to follow those of another individual, the leader. This paper analyzes followership from an evolutionary perspective and advances three main conclusions that are not yet part of the leadership literature. First, followership evolved as a strategy to solve a range of cooperation and coordination problems in groups (e.g., collective movement, peacekeeping). Second, individuals who lack the physical, psychological, or social capital to be leaders themselves are more likely to emerge as followers. Third, followership styles, behaviors, and engagement result from (a) variations in the relative pay-offs that accrue to followers vis-à-vis their leader, (b) the adaptive goals pursued by followers, (c) the adaptive challenges that select for different followership styles, and (d) the prevailing leadership style. Together, these conclusions have several implications for followership theory, research, and practice. © 2018 Elsevier Inc.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054039043&doi=10.1016%2fj.leaqua.2018.09.004&partnerID=40&md5=f593f72dbeecbea5800d558cb96aeffd
1281,"Garfield Z.H., von Rueden C., Hagen E.H.",The evolutionary anthropology of political leadership,Leadership Quarterly,2019,"Existing approaches within leadership studies often share a bias towards industrialized societies and lack broader cross-cultural and ethological reference. Meanwhile, cross-cultural and evolutionary approaches within anthropology are actively working to unify research on leadership and followership across the biological and social sciences. This review provides a novel and thorough view of political leadership as investigated by evolutionary anthropologists and highlights the benefits of incorporating findings from the evolutionary social sciences into leadership studies generally. We introduce the anthropological approach to leadership; describe evolutionary anthropology, its subdisciplines (including primatology, paleoanthropology, paleogenetics, human behavioral ecology, and gene-culture coevolution), and its complementary disciplines (particularly evolutionary psychology); review leadership and hierarchy in nonhumans, including our extinct hominid ancestors; review female leadership and sex-differences; and, primarily, discuss the relationships between evolution, ecology, and culture as they relate to the observed patterns of political leadership and followership across human societies. Through evolutionary anthropology's diverse toolkit, a deeper insight into the evolution and cross-cultural patterning of leadership is realized. © 2018",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053840305&doi=10.1016%2fj.leaqua.2018.09.001&partnerID=40&md5=4d0bc26a455612747a660975fc277d3a
1276,"Cheong M., Yammarino F.J., Dionne S.D., Spain S.M., Tsai C.-Y.",A review of the effectiveness of empowering leadership,Leadership Quarterly,2019,"Based on a review of empirical literature on empowering leadership, given incongruent and mixed results, the current work suggests reconsidering the effectiveness of empowering leadership. We propose a framework for examining the effectiveness of empowering leadership that considers: 1) feasibility of non-linear main effects of empowering leadership on work-related outcomes, 2) possibility of reverse causation between empowering leadership and work-related outcomes, 3) potential contradictory mediating mechanisms through which empowering leadership influences work-related outcomes, 4) consideration of boundary conditions which could alter the relationships between empowering leadership and work-related outcomes, and 5) consideration of levels-of-analysis and multilevel issues in empowering leadership. Our framework considers the multifaceted nature of empowering leadership and offers a guiding tool for advancing future research in this area. © 2018",Empowering leadership; Levels-of-analysis and multilevel issues; Mediating mechanisms and boundary conditions; Non-linear effects; Reverse causation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053012840&doi=10.1016%2fj.leaqua.2018.08.005&partnerID=40&md5=14045f6089a9f6f477be843bbd8b2183
1271,"Eva N., Robin M., Sendjaya S., van Dierendonck D., Liden R.C.",Servant Leadership: A systematic review and call for future research,Leadership Quarterly,2019,"Notwithstanding the proliferation of servant leadership studies with over 100 articles published in the last four years alone, a lack of coherence and clarity around the construct has impeded its theory development. We provide an integrative and comprehensive review of the 285 articles on servant leadership spanning 20 years (1998–2018), and in so doing extend the field in four different ways. First, we provide a conceptual clarity of servant leadership vis-à-vis other value-based leadership approaches and offer a new definition of servant leadership. Second, we evaluate 16 existing measures of servant leadership in light of their respective rigor of scale construction and validation. Third, we map the theoretical and nomological network of servant leadership in relation to its antecedents, outcomes, moderators, mediators. We finally conclude by presenting a detailed future research agenda to bring the field forward encompassing both theoretical and empirical advancement. All in all, our review paints a holistic picture of where the literature has been and where it should go into the future. © 2018 Elsevier Inc.",Leader; Leadership; Literature review; Servant leadership; Systematic literature review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050658228&doi=10.1016%2fj.leaqua.2018.07.004&partnerID=40&md5=5eedf9cbad863a0bda3db06a482e32e6
1270,"Acton B.P., Foti R.J., Lord R.G., Gladfelter J.A.","Putting emergence back in leadership emergence: A dynamic, multilevel, process-oriented framework",Leadership Quarterly,2019,"The study of leadership emergence has increased substantially over the past few decades. However, due to a lack of integrative theory, we believe limited advancement has been made regarding the full process of leadership emergence. To address this concern, first, we conceptualize the leadership emergence process from a complexity perspective and define emergence as a dynamic, interactive process grounded in three principles of emergent phenomena. Second, we review how previous research has modeled leadership emergence by focusing on the content areas of the lower-level elements, the mechanisms that facilitate their emergence, and the dynamism of the process once it has emerged. Third, based on the findings from the review, we introduce a process-oriented framework of leadership emergence. Fourth, we offer propositions to guide developing and testing emergent leadership processes, and we conclude with recommendations for future leadership process research. Our hope is that by realigning the study of leadership emergence with complexity and multilevel theory, we can reorient this area to focusing more on the process mechanisms within emergence, connecting back to research progress made over 60 years ago. © 2018 Elsevier Inc.",Emergence; Leadership emergence; Leadership theory; Multilevel theory; Theory integration,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050644956&doi=10.1016%2fj.leaqua.2018.07.002&partnerID=40&md5=14059b2a8af9778fef2d64d175d62267
1268,"Crawford J.A., Kelder J.-A.",Do we measure leadership effectively? Articulating and evaluating scale development psychometrics for best practice,Leadership Quarterly,2019,"Leadership assessment has been a particular point of difficulty for contemporary scholarship, with many practitioners rejecting academically-driven leadership instruments and scales and preferring their own, less rigorous, scales. We believe that current conceptualizations and measurements of leadership are problematic, indicated by contemporary challenges that can be widely understood as failures of leadership (e.g. the Australian Banking Royal Commission and Volkswagen's ‘Dieselgate’). Also, how effective leadership is measured needs to change. This paper presents a systematic review of 17 leadership scales developed in the new millennium. The majority of scales lack some degree of rigor. Our response has been to conduct eighteen critical checks over four stages of scale development: theory generation, item development, content validity, and empirical evaluation. On the premise that understanding past practices, with their limitations, can be used to drive forward a suite of more effective organizational tools, we provide best practice recommendations using contemporary psychometric research. © 2018 Elsevier Inc.",Content adequacy; Factor analysis; Leadership assessment; Scale development; Theory generation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049901061&doi=10.1016%2fj.leaqua.2018.07.001&partnerID=40&md5=a1bcbcf0167f844c87dcf2846aef247b
1300,"Gooty J., Thomas J.S., Yammarino F.J., Kim J., Medaugh M.",Positive and negative emotional tone convergence: An empirical examination of associations with leader and follower LMX,Leadership Quarterly,2019,[No abstract available],,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063793734&doi=10.1016%2fj.leaqua.2019.03.002&partnerID=40&md5=60cc19facadf343ca6d08d53bb23a2bc
1299,"Xu M., Qin X., Dust S.B., DiRenzo M.S.",Supervisor-subordinate proactive personality congruence and psychological safety: A signaling theory approach to employee voice behavior,Leadership Quarterly,2019,"Building on person-supervisor fit and signaling theory, this study explores the joint effects (i.e., congruence) of supervisor and subordinate proactive personality on subordinate voice behavior through subordinate perceived psychological safety. We examined our hypotheses using cross-level polynomial regressions and response surface analyses. The results indicated that supervisor-subordinate congruence in proactive personality led to higher levels of subordinate perceived psychological safety. Additionally, subordinates in the congruent dyads with high proactive personalities perceived higher levels of psychological safety than those in the congruent dyads with low proactive personalities. Furthermore, supervisor-subordinate congruence in proactive personality had an indirect effect on voice via subordinate perceived psychological safety. Theoretical implications for proactive personality, voice, and person-supervisor fit literatures are discussed. This study highlights that organizations should focus more on creating conditions, perhaps through supervisor-focused changes, that engender psychological safety as opposed to focusing attention exclusively on proactive traits exhibited by employees. © 2019 Elsevier Inc.",Person-supervisor fit; Polynomial regression; Proactive personality; Psychological safety; Voice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063630984&doi=10.1016%2fj.leaqua.2019.03.001&partnerID=40&md5=d4c8660d0b555d1877edcd1cdf039cca
1298,"Granic G.D., Wagner A.K.",Where power resides in committees,Leadership Quarterly,2019,"The power to control decisions is rarely distributed equally in committees. In a small voting committee, in which members have conflicting interests, we study how the decision right to break ties (formal power) translates into effective control over outcomes (real power). Two controlled experiments show that the level of real power held by the chair is larger than predicted by rational-choice theory. We also provide causal evidence that the legitimacy, but not the salience, of holding formal tie-breaking power affects voting behavior and thus the distribution of real power in the committee. Attitudinal measures related to the perceived attractiveness of the decision right to break ties exhibit a strong asymmetry between the one holding the decision right and those who do not. © 2019 Elsevier Inc.",Committee; Laboratory experiment; Legitimacy; Power; Tie-breaking rule,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062393408&doi=10.1016%2fj.leaqua.2019.02.001&partnerID=40&md5=1599e4ed25489397371587beba498a62
1297,"Ashford S.J., Sitkin S.B.",From problems to progress: A dialogue on prevailing issues in leadership research,Leadership Quarterly,2019,"This paper presents a dialogue between two scholars who have come to contribute to the leadership literature rather late in their careers and, as such, embody a combined insider/outsider perspective. From this perspective, they raise and discuss various observations about the current state of the leadership literature and where that literature might profitably go in the future. The hope is that this dialogue will stimulate other dialogues and, ultimately, foster progress in the leadership literature. © 2019 Elsevier Inc.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061163112&doi=10.1016%2fj.leaqua.2019.01.003&partnerID=40&md5=5629353891a294cf5ca16784512a7bc7
1295,"Sloof R., von Siemens F.A.",Effective leadership and the allocation and exercise of power in organizations,Leadership Quarterly,2019,"We experimentally investigate whether delegation can be an effective leadership behavior to motivate followers. In particular, we study how the allocation and exercise of power – the right to choose projects – by leaders affects the subsequent implementation of the chosen projects by followers. To isolate the pure motivational effect of delegation, we focus on whether the amount of effort that followers exert to implement the exact same project depends on who has chosen the project and on what information was available when making the project choice. We find that followers implement projects efficiently if they have chosen them themselves, but reduce implementation effort if the same projects are imposed on them by leaders. But this motivational effect of delegation is persistent if and only if followers must implement projects that they themselves would not have chosen. © 2018",Delegation; Experiment; Implementation; Leadership; Organizational economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060540790&doi=10.1016%2fj.leaqua.2018.12.001&partnerID=40&md5=0cd93386e0098cc8680f3ef4bc76f412
1274,"Anand S., Hu J., Vidyarthi P., Liden R.C.",Leader-member exchange as a linking pin in the idiosyncratic deals - Performance relationship in workgroups,Leadership Quarterly,2018,"In the current investigation, idiosyncratic deals (i-deals; individualized work arrangements) are modeled as differentiated resources that shape leader-member exchange (LMX) relationships in workgroups. We integrate literature on leader-member exchange (LMX) with research on i-deals to argue that employee evaluations of i-deals received from the grantor –typically the leader- enhance employee perceptions of LMX, which in turn become instrumental in generating positive performance outcomes. Furthermore, because workgroup characteristics have potential implications on the relationship between a deal grantor and the deal recipient, drawing upon social identity theory of leadership, we reason that the i-deals-LMX relationship is affected by the overall value congruence among the group members. Cross-level moderated mediation analyses on multi source data obtained from 289 employees nested in 60 workgroups showed that the mediational role of LMX in the i-deals to performance outcomes relationship was weaker in high value congruence groups. © 2018 Elsevier Inc.",I-deals; In-role performance; Leader-member exchange (LMX); Organizational citizenship behavior (OCB); Value congruence,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052832848&doi=10.1016%2fj.leaqua.2018.07.005&partnerID=40&md5=3faedcf2552de022262101702c09b1d0
1269,"Unsworth K.L., Kragt D., Johnston-Billings A.",Am I a leader or a friend? How leaders deal with pre-existing friendships,Leadership Quarterly,2018,"We studied employees who were promoted into a leadership role from within their workgroup and explored how they dealt, psychologically, with being both a leader and a friend of their subordinates. In an inductive, qualitative study of 33 individuals from across three organizations (two mining companies and one childcare organization) we found that these people experienced psychological conflict that resulted in them feeling vulnerable to being exploited or being afraid to use their power over subordinate-friends. We identified five strategies that were used, namely abdicating responsibility, ending the friendship, establishing the divide, overlapping the roles, and using friendship to lead. We developed a model whereby the type of psychological conflict and the person's leader identity (either “the boss”, just a role, or a weak or non-existent leader identity) leads to the choice of resolution strategy. This exploration into understanding pre-existing friendships demonstrates the ongoing need to consider those in a leadership role as “people” and not just “leaders”. © 2018 Elsevier Inc.",Conflict; Friendship; Leader identity; Leadership; Power,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050110624&doi=10.1016%2fj.leaqua.2018.07.003&partnerID=40&md5=7dde515d8a601b97657c61de1acf9e51
1267,"Velez M.J., Neves P.",Shaping emotional reactions to ethical behaviors: Proactive personality as a substitute for ethical leadership,Leadership Quarterly,2018,"Due to ethical lapses of leaders, interest in ethical leadership has grown, raising important questions about the responsibility of leaders in ensuring moral and ethical conduct. However, research on ethical leadership has failed to examine the active role that followers' attributes play in enhancing or minimizing the influence of ethical leadership in organizational outcomes. We applied the substitutes for leadership approach (Kerr & Jermier, 1978) to ethical leadership and predicted that proactive personality acts as substitute in the relationship between ethical leadership, workplace emotions and organizational citizenship behaviors (OCBs). Data from two distinct samples offered strong support for the hypotheses. Specifically, we found that ethical leadership was significantly and negatively related to negative workplace emotions when subordinate proactive personality was low, but not when it was high, with consequences for OCBs. These findings suggest that proactive personality constitutes an important moderator on the impact of low ethical leadership on workplace emotions, with consequences for OCBs. © 2018 Elsevier Inc.",Ethical leadership; Organizational citizenship behaviors; Proactive personality; Substitutes for leadership; Workplace emotions,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049631277&doi=10.1016%2fj.leaqua.2018.06.004&partnerID=40&md5=ad253f2a7341149e1b87c45a2fea646a
1266,"Steffens N.K., Fonseca M.A., Ryan M.K., Rink F.A., Stoker J.I., Nederveen Pieterse A.","How feedback about leadership potential impacts ambition, organizational commitment, and performance",Leadership Quarterly,2018,"In the present research we report results from two experimental studies that examine how feedback about leadership potential impacts leadership ambition, organizational commitment, and performance. Study 1 used an experimental vignette methodology that controls for prior performance. Results show that individuals who receive feedback that they have low potential to be a future leader have lower ambition and organizational commitment relative to those who receive feedback that they have high potential to be a future leader. Study 2 provides evidence of the causal behavioral effects of feedback about leadership potential using a real task effort environment. Results show that participants informed to be unlikely future leaders display lower performance in a subsequent task than participants informed to be likely future leaders. The findings from the two studies demonstrate that information about leadership potential affects subsequent ambition to become leaders as well as performance. We discuss the implications of these findings for the importance of followership, talent management, and leadership succession. © 2018 Elsevier Inc.",Ambition; Followership; Leadership; Leadership potential; Leadership succession,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049078927&doi=10.1016%2fj.leaqua.2018.06.001&partnerID=40&md5=49d5ba1ef8c7434ed817ff11e4a8b6f3
1265,"Wang A.-C., Tsai C.-Y., Dionne S.D., Yammarino F.J., Spain S.M., Ling H.-C., Huang M.-P., Chou L.-F., Cheng B.-S.","Benevolence-dominant, authoritarianism-dominant, and classical paternalistic leadership: Testing their relationships with subordinate performance",Leadership Quarterly,2018,"We propose a new typology of paternalistic leadership styles based on how leaders demonstrate authoritarianism and benevolence, the two essential components of this type of leadership. Benevolence-dominant paternalistic leadership refers to leaders' sole dependence on the use of benevolence without their strong assertion of authority, whereas authoritarianism-dominant paternalistic leadership is based mainly on authoritarianism itself; classical paternalistic leadership, which best fits early observations of paternalistic leaders, refers to the salient combination of both leadership components. We used two distinct samples and methods to test this typology and the association with subordinate performance. Across the two studies, a field investigation with Taiwanese military supervisor-subordinate dyads and a hypothetical scenario experiment with U.S. working adults, we found a positive relationship between classical paternalistic leadership and subordinate performance as strong as that between benevolence-dominant paternalistic leadership and performance. Our findings echo the phenomenon that paternalistic leaders tend to combine benevolence with authoritarianism to affect subordinate performance. © 2018 Elsevier Inc.",Authoritarianism; Benevolence; Paternalistic leadership; Performance; Polynomial regression,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048930472&doi=10.1016%2fj.leaqua.2018.06.002&partnerID=40&md5=d97519eb0d76f817222f3616e8a5346d
1262,"Sidani Y.M., Rowe W.G.",A reconceptualization of authentic leadership: Leader legitimation via follower-centered assessment of the moral dimension,Leadership Quarterly,2018,"We explore some challenges that face authentic leadership scholarship including problems related to how the construct is understood and measured. We present a model of authentic leadership that looks at it, not as a leadership style, but as an outcome of a legitimation process. Authentic leadership represents legitimated follower perceptions of a leader's authenticity which are activated by moral judgments. We explain how a follower-centered assessment of the moral component helps explain leadership dynamics in situations involving ethical relativism, thus alleviating concerns regarding the presumed moral component of the construct. The overlap between leaders' and followers' value systems leads to impressions of authenticity, even in cases in which there are no clear universal moral standards. An authentic person's behavior cannot be labeled as “leadership” unless it is embraced by a follower who grants moral legitimacy to the leader. We then discuss the implications of our study for scholars and practitioners. © 2018 Elsevier Inc.",Authentic leadership; Authenticity; Ethical leadership; Followers; Leadership; Legitimacy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046795336&doi=10.1016%2fj.leaqua.2018.04.005&partnerID=40&md5=84409153c87865251e21a2bae811d07b
